source	translation	post-edit	bleu	chrf	ter
Include only those whose health status you are likely to be aware of.	E fit be sey na only you get that kind mind.	Add onli pipu wey you fit sabi dier health konditions.	0.00	16.87	1.00
To the best of your knowledge, how many of the people you know in this region have been diagnosed or have had symptoms compatible with COVID-19?	If you want know more, how you go take know this kind people for this area wey you know for this area?	How many of di pipu wey you sabi for dis region don hear say dem get signs of COVID -19	0.00	19.07	1.05
Include those who had the symptoms and have recovered.	People wey dey serve Jehovah tey tey talk sey dem go fit save dem.	Add di pipu wey don well after dem get dis signs. 	0.00	16.17	1.08
Common symptoms include fever, tiredness, dry cough.	For example, dem fit dey talk about matter well.	Common signs be fever, make person tire, and dry cough. 	0.00	11.79	1.00
Other symptoms include shortness of breath, aches and pains, sore throat, and very few people will report diarrhoea, nausea or a runny nose.	E fit be sey dem no get long throat, and dem no go get long throat.	Oda signs na make person no fit breathe well, bodi pain, sore throat, and small pipu don report stoolinhg, vomitting, and kata.	0.00	16.99	0.86
(From the WHO webpage.)	(From the box wey dem dey call Olden Days.)	From di WHO website.	0.00	18.29	2.25
From these, how many have recovered?	How this one take help many people?	How many pipu don dey okay from dis?	0.00	19.52	0.90
How many passed away?	Wetin come happen to many people?	How many pipu don peme? 	0.00	23.44	1.00
To the best of your knowledge, how many of the people you know in this region have been tested?	If you want know more, how you go take know this kind people for this area?	How many pipu you know for dis area wey dem don do test.	0.00	25.63	1.07
Include those tested for the coronavirus and for virus antibodies.	E fit still be sey the people for the whole world dey invite us come.	Add di pipu wey test for coronavirus and for virus antibodi.	0.00	15.72	1.17
How many of those tested were positive?	Wetin many of dem do?	How many pipu dey positive?	0.00	15.58	0.80
To the best of your knowledge, how many of the people you know in this region have been taken to the hospital for COVID-19?	If you want know more, how you go take know this kind people wey come from another country?	How many pipu wey you sabi for dis area wey dem don kari go hospital for COVID-19?	0.00	16.11	1.06
From those taken to the hospital, how many were severe cases?	Wetin be some of the hospital wey dey the hospital wey dem	Inside di pipu wey dem kari go hospital, how many pipu wey dier case dey serious?	0.00	24.16	2.25
From those taken to the hospital, how many were in the ICU?	From the hospital wey dey the hospital, wetin many of dem do?	Inside di pipu wey dem kari go hospital, how many pipu dey ICU?	0.00	30.18	0.79
Did you hear about this survey from someone you know personally?	You remember this one?	Shey na pesin wey you sabi personally, tell you about dis survey?	0.00	8.22	1.00
Is this the first time you complete this survey?	The first time wey you see this one na the first time                                      	Shey na di first time wey you dey complete dis survey?	22.42	37.97	3.62
Did you forward this survey to people you know personally?	You remember this one?	Shey you send dis survey to people wey you sabi personally?	0.00	8.99	1.00
Thank you!	Thank you!	Tank you!	0.00	78.77	1.00
Thank you for your answer.	Thank you for your answer.	Tank you for all your ansa!	0.00	58.42	0.57
The results of this poll will be available at https://coronasurveys.org/.	The better thing be sey, for this world, people go pay tax.	Di result of dis survey go dey available for https://coronasurveys.org/.	0.00	12.27	1.20
Please answer this survey once a day, even if your answers do not change.	If you dey answer this question, e no go hard you to change.	Abeg ansa dis survey once in a day, even if your ansas remain di same. 	0.00	15.45	1.00
