en,ig
"Show the history pages visited ""ever"", ""last_two_days"", ""last_three_days"", ""today"".","Gosi ihuakwụkwọ agụgụala abanyegorola ""ever"", ""last_two_days"", ""last_three_days"", ""today""."
The bookmark information shown in the editor view,Ozi búùkmáàkì egosiri na ngosi omendezi
"The bookmark information shown in the editor view. Valid values in the list are ""address"" and ""title"".","Ozi búùkmáàkì egosiri na ngosi omendezi.Valius nwere isi na ndesịta bụ ""address"" na ""title""."
The page information shown in the history view,Ozi ihuakwụkwọ egosiri na ngosi agụgụala
"The page information shown in the history view. Valid values in the list are ""ViewTitle"", ""ViewAddress"" and ""ViewDateTime"".","Ozi ihuakwụkwọ egosiri na ngosi agụgụala.Valius ndị nwereisi na ndesịta bụ ""address"", ""title""."
x-western,x-western
The currently selected fonts language,Asụsụ ihumkpụrụedemede a họrọla ọfụụ
"The currently selected fonts language. Valid values are ""ar"" (arabic), ""x-baltic"" (baltic languages), ""x-central-euro"" (central european languages), ""x-cyrillic"" (languages written with cyrillic alphabet), ""el"" (greek), ""he"" (hebrew), ""ja"" (japanese), ""ko"" (korean), ""zh-CN"" (simplified chinese), ""th"" (thai), ""zh-TW"" (traditional chinese), ""tr"" (turkish), ""x-unicode"" (other languages), ""x-western"" (languages written in latin script), ""x-tamil"" (tamil) and ""x-devanagari"" (devanagari).","Asụsụ ihumkpụrụedemede a họrọla ọfụụ. Valius ndị nwereisi bụ. Values are ""ar"" (arabic), ""x-baltic"" (baltic languages), ""x-central-euro"" (central european languages), ""x-cyrillic"" (languages written with cyrillic alphabet), ""el"" (greek), ""he"" (hebrew), ""ja"" (japanese), ""ko"" (korean), ""zh-CN"" (simplified chinese), ""th"" (thai), ""zh-TW"" (traditional chinese), ""tr"" (turkish), ""x-unicode"" (other languages), ""x-western"" (languages written in latin script), ""x-tamil"" (tamil) and ""x-devanagari"" (devanagari)."
Always show the tab bar,Ná-ègosi tab báà mgbe ọbụla
Show the tab bar also when there is only one tab open.,Gosi tab báà n'otu aka ahụ mgbe enwere otu táàbụ́ mepere emepe.
Show bookmarks bar by default,Gosi búùkmáàks báà site na difọ́ọ̀ltụ̀
Show statusbar by default,Gosi statusbáà site na difọ́ọ̀ltụ̀
ISO-8859-1,ISO-8859-1
"Default encoding. Accepted values are: ""armscii-8"", ""Big5"", ""Big5-HKSCS"", ""EUC-JP"", ""EUC-KR"", ""gb18030"", ""GB2312"", ""geostd8"", ""HZ-GB-2312"", ""IBM850"", ""IBM852"", ""IBM855"", ""IBM857"", ""IBM862"", ""IBM864"", ""IBM866"", ""ISO-2022-CN"", ""ISO-2022-JP"", ""ISO-2022-KR"", ""ISO-8859-1"", ""ISO-8859-2"", ""ISO-8859-3"", ""ISO-8859-4"", ""ISO-8859-5"", ""ISO-8859-6"", ""ISO-8859-7"", ""ISO-8859-8"", ""ISO-8859-8-I"", ""ISO-8859-9"", ""ISO-8859-10"", ""ISO-8859-11"", ""ISO-8859-13"", ""ISO-8859-14"", ""ISO-8859-15"", ""ISO-8859-16"", ""ISO-IR-111"", ""KOI8-R"", ""KOI8-U"", ""Shift_JIS"", ""TIS-620"", ""UTF-7"", ""UTF-8"", ""VISCII"", ""windows-874"", ""windows-1250"", ""windows-1251"", ""windows-1252"", ""windows-1253"", ""windows-1254"", ""windows-1255"", ""windows-1256"", ""windows-1257"", ""windows-1258"", ""x-euc-tw"", ""x-gbk"", ""x-johab"", ""x-mac-arabic"", ""x-mac-ce"", ""x-mac-croatian"", ""x-mac-cyrillic"", ""x-mac-devanagari"", ""x-mac-farsi"", ""x-mac-greek"", ""x-mac-gujarati"", ""x-mac-gurmukhi"", ""x-mac-hebrew"", ""x-mac-icelandic"", ""x-mac-roman"", ""x-mac-romanian"", ""x-mac-turkish"", ""x-mac-ukrainian"", ""x-user-defined"", ""x-viet-tcvn5712"", ""x-viet-vps"" and ""x-windows-949"".","Ndenye kóòdú difọ́ọ̀ltụ̀. Valius ndị anabatara bụ: ""armscii-8"", ""Big5"", ""Big5-HKSCS"", ""EUC-JP"", ""EUC-KR"", ""gb18030"", ""GB2312"", ""geostd8"", ""HZ-GB-2312"", ""IBM850"", ""IBM852"", ""IBM855"", ""IBM857"", ""IBM862"", ""IBM864"", ""IBM866"", ""ISO-2022-CN"", ""ISO-2022-JP"", ""ISO-2022-KR"", ""ISO-8859-1"", ""ISO-8859-2"", ""ISO-8859-3"", ""ISO-8859-4"", ""ISO-8859-5"", ""ISO-8859-6"", ""ISO-8859-7"", ""ISO-8859-8"", ""ISO-8859-8-I"", ""ISO-8859-9"", ""ISO-8859-10"", ""ISO-8859-11"", ""ISO-8859-13"", ""ISO-8859-14"", ""ISO-8859-15"", ""ISO-8859-16"", ""ISO-IR-111"", ""KOI8-R"", ""KOI8-U"", ""Shift_JIS"", ""TIS-620"", ""UTF-7"", ""UTF-8"", ""VISCII"", ""windows-874"", ""windows-1250"", ""windows-1251"", ""windows-1252"", ""windows-1253"", ""windows-1254"", ""windows-1255"", ""windows-1256"", ""windows-1257"", ""windows-1258"", ""x-euc-tw"", ""x-gbk"", ""x-johab"", ""x-mac-arabic"", ""x-mac-ce"", ""x-mac-croatian"", ""x-mac-cyrillic"", ""x-mac-devanagari"", ""x-mac-farsi"", ""x-mac-greek"", ""x-mac-gujarati"", ""x-mac-gurmukhi"", ""x-mac-hebrew"", ""x-mac-icelandic"", ""x-mac-roman"", ""x-mac-romanian"", ""x-mac-turkish"", ""x-mac-ukrainian"", ""x-user-defined"", ""x-viet-tcvn5712"", ""x-viet-vps"" and ""x-windows-949""."
Default font type,Ụdị ihumkpụrụedemede difọ́ọ̀ltụ̀
"Default font type. Possible values are ""serif"" and ""sans-serif"".","Ụdị ihumkpụrụedemede difọ́ọ̀ltụ̀. Pọsịbụl valius bụ ""serif"" na ""sans-serif""."
Whether to print the page title in the header,Ma a ga-ebipụta isiokwu ihuakwụkwọ na ngwe elu ihuakwụkwọ
Whether to print the page address in the header,Ma a ga-ebipụta ngosi ebe ihuakwụkwọ na ngwe elu ihuakwụkwọ
Whether to print the date in the footer,Ma a ga-ebipụta ụbọchị na ngwe okpuru ihuakwụkwọ
Enable Java,Hapụ Java
Details,Ozi
Personal Data,D_ata nkeonwe
Cookies,Kukíìs
_Show passwords,Okwumbanye
Passwords,Okwumbanye
Text Encoding,Ndenye kóòdù ngwe
_Automatic,_Nkeonwe
Use the encoding specified by the document,Jiri ndenye kóòdù ahụ ezipụtarala site n'aka dọkumenti
_Use a different encoding:,_Jiri ndenye kóòdù dị iche:
Downloads,Mbudata ndị ahụ
Sign Text,Chọ̀ọ́ nke ọz_ọ
_Certificate:,_Gosi Asambodo
_Password:,_Okwumbanye:
_View Certificate…,_Gosi Asambodo
Preferences,Nkarachọ
Home page,Saịtị omenchọgharị ịntaneetị n'ebu ụzọ abanye mgbe emepere ya
_Address:,_Ngosi ebe:
Set to Current _Page,Hazie n'ihuakwụkwọ nke _ọfụụ
Set to _Blank Page,Hazie _n'ihuakwụkwọ ghe oghe
_Download folder:,_Budata nsomebefaịlụ:
A_utomatically download and open files,O ji aka ya budata ma mepee faịlụ ndị ahụ
Web Development,Ndịna nke ahụrụ anya nke a na-enweta na websaịtị
_Minimum size:,_Ụhara nke obere:
Web Content,Ndịna nke ahụrụ anya nke a na-enweta na websaịtị
Allow popup _windows,Hapụ pọpọp _windos
Enable _Java,Na-ekwe _Java
Enable Java_Script,Na-ekwe asụsụ_ihendesịta program
Cookies,Kukiis
_Always accept,_Na-anabata mgbe ọbụla
Only _from sites you visit,Sọsọ _site na saịtị ndị ịbanyegorolaOnly from sites you visit
_Never accept,_Anabataghị ya
_Show Downloads,_Gosi omembudata...
%u:%02u.%02u,%u:%02u.%02u
%02u.%02u,%02u.%02u
_Pause,_Kwụsịtụ
_Resume,_Bido
Download finished,Bubata ụzọ njikọ%s of %s
%s %s of %s,%s %s nke %s
Download started,Dara ada
Failed,Mbubata dara adadownload status
%,%
Remaining,Nke fọrọnụ̄
Save,Chekwaa
Download this potentially unsafe file?,Budata faịlụ na-adịghị séèfù?
File Type: “%s”. It is unsafe to open “%s” as it could potentially damage your documents or invade your privacy. You can download it instead.,Ụdị faịlụ a ga-emebi dọkumenti gị mọọbụ ibanye n'ike na nkennọrọonwe gị. Ọdịchaghị mma ka emepee ya ozugbo. Kama i nwere ike ichekwa ya.
Open this file?,Mepee faịlụ
Download this file?,Budata faịlụ ahụ?
Redirecting to “%s”…,Na-eduzigharị na %s...
Transferring data from “%s”…,Na-ebuga data site na %s...
Waiting for authorization from “%s”…,Nà-èché maka ikike site na %s...
GConf error: %s,Ndehie GConf: %s
Sidebar extension required,Achọrọ mgbatịkwu saịdbáà
Save Image As,Chekwaa inyogo dịka...
First,Nke mbụ
Go to the first page,Gàá n'ihuakwụkwọ nke mbụ
Last,Nke ikpeazụ
Go to the last page,Gaa n'ihuakwụkwọ nke ikpeazụ
Previous,Nke ochie
Go to the previous page,Gaa n'ihuakwụkwọ nke ochie
Next,Ọzọ
Go to next page,Gaa n'ihuakwụkwọ nke ọzọ
Close,Machie
Close print preview,Mechie mbipụta ebe ngosi iheFrench (France)
Whether to print the background color,Ma a ga-ebipụta ụbọchị na ngwe okpuru ihuakwụkwọ
Whether to print the background images,Ma a ga-ebipụta ngosi ebe ihuakwụkwọ na ngwe elu ihuakwụkwọ
Whether to print the page numbers (x of total) in the footer,Ma a ga-ebipụta ọnụọgụgụ ihuakwụkwọ ndị ahụ (x nke mgbakọ) na ngwe elu ihuakwụkwọ
Delete the selected bookmark or topic,Hichaa búùkmáàkị̀ mọọbụ isiokwu ahụ a họọrọ
Select _All,Họrọ ha _niile
Select all bookmarks or text,Họrọ búùkmáàks niile mọọbụ ngwe
_Contents,_Ndịna
Display bookmarks help,Gosipụta Nnyemaka búùkmáàks
_About,_Maka
Display credits for the web browser creators,Gosipụta kredíìtì maka ndị nkewapụta omenchọgharị wéèbụ̀
_Show on Toolbar,Gosi mọọbụ zòó tulbáà
Show the selected bookmark on a toolbar,Gosi búùkmáàkị̀ mọọbụ isiokwu a họọrọla na báà búùkmáàks
_Title,_Isiokwu
Show only the title column,Gosi sọsọ mpagharaogologo isiokwu
T_itle and Address,I_siokwu na Ngosi ebe
Show both the title and address columns,Gosi ma isiokwu ma mpagharaogologo ngosi ebe
Type a topic,Pịpụta isiokwu
Delete topic “%s”?,"Hichaa isiokwu ""%s""?"
Delete this topic?,Hichaa isiokwu a?
"Deleting this topic will cause all its bookmarks to become uncategorized, unless they also belong to other topics. The bookmarks will not be deleted.","Nhicha isiokwu a ga-eme ka búùkmáàks ya niile dị agharata, bèélụ́ sọ̀ na ha a nọkwa n'isiokwu ndị ọzọ. Agaghị ehicha búùkmáàks ndị ahụ."
_Delete Topic,_Hichaa Isiokwu
Firefox,Firefox
Firebird,Firebird
Mozilla “%s” profile,"Mozilla ""%s"" profile"
Galeon,Galeon
Konqueror,Konqueror
Import failed,Mbubata dara ada
Import Failed,Mbubata dara ada
The bookmarks from “%s” could not be imported because the file is corrupted or of an unsupported type.,"Búùkmáàks site na ""%s"" nwere ike agaghị ebubata ya n'ihi na emebiela faịlụ ahụ mọọbụ nke ụdị nke a na-akwadoghị."
Import Bookmarks from File,Bubata búùkmáàks site na faịlụ
Firefox/Mozilla bookmarks,Búùkmáàks Firefox/Mozilla
Galeon/Konqueror bookmarks,Búùkmáàks Galeon/Konqueror
Epiphany bookmarks,Búùkmáàks Epiphany
Export Bookmarks,Bupụ Búùkmáàks
File f_ormat:,Ọdịdị faịlụ:
Import Bookmarks,Bubata Búùkmáàks
I_mport,B_ubata
Import bookmarks from:,Bubata búùkmáàks site na:
_Copy Address,_Debata Ngosi ebe
_Search:,_Chọgharịa:
Topics,Isiokwu
Title,Isiokwu
Address,Ngosi ebe
Show properties for this bookmark,Gosi mọọbụ zòó báà búùkmáàks
Open this bookmark in a new tab,Mepee búùkmáàkị̀ nke ahụ a họọrọ na táàbụ̀ ọfụụ
Open this bookmark in a new window,Mepee búùkmáàkị̀ nke ahụ a họọrọ na windo ọfụụ
Open in New _Tabs,Mepee na Táàbụ̀ _ọfụụ
Open the bookmarks in this topic in new tabs,Mepee búùkmáàkị̀ nke ahụ a họọrọ na táàbụ̀ ọfụụ
Related,_Debatagharịa
Topic,Isiokwu
Create topic “%s”,Kewapụta isiokwu ọfụụ
Encodings,Ndenye kóòdù
_Other…,Ndị ọzọ
Other encodings,Ndenye kóòdù ndị ọzọ
_Automatic,_Ọrụ nkeonwe
Find:,_Chọ̀ọ́:
_Case sensitive,O_kwu ndị dị iche na mpụtara nke gbadoro ụkwụ na ọdịdị iche ahụ nke iji mkpụrụokwu ọpakeesi na lowakeesi
Find Previous,Chọ̀ọ́ nke o_chie
Find previous occurrence of the search string,Chọ̀ọ́ mpụta nke ochie nke mkpụrụokwu mọọbụ nkebiokwu
Find Next,Chọ̀ọ́ nke ọz_ọ
Find next occurrence of the search string,Chọ̀ọ́ nke ọzọ pụtaranụ̄ nke mkpụrụokwu mọọbụ nkebiokwu
Leave Fullscreen,Hapụ njupụta inyogo
Go,Gàá
Open the selected history link in a new window,Mepee nhọrọ nke agụgụala ụzọ njikọ na windo ọfụụ
Open the selected history link in a new tab,Mepee nhọrọ nke agụgụala ụzọ njikọ na táàbụ̀ ọfụụ
Add _Bookmark…,Tinye Búùkmáàkị̀
Bookmark the selected history link,Búùkmáàkị̀á nhọrọ nke agụgụala ụzọ njikọ
Close the history window,Mechie windo agụgụala
Delete the selected history link,Hichaa nhọrọ nke agụgụala ụzọ njikọ
Select all history links or text,Họrọ ụzọ njikọ agụgụala niile mọọbụ ngwe
Clear _History,Wepụ _Agụgụala
Clear your browsing history,Wepụ nchọgharị agụgụala gị
Display history help,Gosipụta nnyemaka agụgụala
Show the title column,Gosi sọsọ mpagharaogologo isiokwu
_Address,_Ngosi ebe
Show the address column,Gosi sọsọ mpagharaogologo ngosi ebe
Show the date and time column,Gosi ma isiokwu ma mpagharaogologo ngosi ebe
Clear browsing history?,Wepụ nchọgharị agụgụala?
Clearing the browsing history will cause all history links to be permanently deleted.,Nwepụ nchọgharị agụgụala ga-eme ka ụzọ njikọ agụgụala hicha kpam kpam.
Clear History,Wepụ Agụgụala
Last 30 minutes,Míníìtì iri atọ garala aga
Today,Táà
Sites,Saịtị dị ichiiche
Date,_Ụbọchị
GNOME Web Browser,Omenchọgharị Wéèbụ̀
Open a new tab in an existing browser window,Mepee táàbụ̀ ọfụụ na windo Epiphany dị̄ adị
Open a new browser window,Mepee windo ọfụụ
Launch the bookmarks editor,Bubata odezi búùkmáàks
Import bookmarks from the given file,Bubata búùkmáàks site na faịlụ enyere
Load the given session file,Debata faịlụ seshiọn enyere
Add a bookmark,Tinye Búùkmáàkị̀
URL,URL
URL …,URL
GNOME Web Browser options,Omenchọgharị Wéèbụ̀
Close tab,Mechie táàbụ̀
Abort pending downloads?,Mbubata nkeonwe
_Abort Downloads,Mbudata ndị ahụ
Recover previous browser windows and tabs?,Nweta táàbs na windo omenchọgharị ochie?
Epiphany appears to have exited unexpectedly the last time it was run. You can recover the opened windows and tabs.,Epiphany na-egosi dịka ọpụọla na-amaghị ama n'oge ikpeazu arụrụ ọrụ na ya. Inwere ike inweta windo ndị ahụ mepere emepe nakwa táàbs.
_Don't Recover,_Enwetakwaláà
_Recover,_Nweta
Crash Recovery,Nnweta nkwụsị ọrụ ozugbo
Caret,Caret
Switch to this tab,Banye na táàbụ́ a
_Back,_Azụ
Go to the previous visited page,Gaa n'ihuakwụkwọ nke ochie abanyegorola
Back history,Azụ agụgụala
_Forward,_Ihu
Go to the next visited page,Gaa n'ihuakwụkwọ nke ọzọ abanyegorola
Forward history,Ihu agụgụala
_Up,_Elu
Go up one level,Gàá n'elu otu ógō
List of upper levels,Ndesịta nke ógó elu
"Enter a web address to open, or a phrase to search for","Pịnye ngosi ebe wéèbụ̀́ ka o mepee, mọọbụ nkebiokwu ị ga-achọ na ya n'ime wéèbụ̀ ahụ"
Zoom,Zum
Adjust the text size,Webilata ụhara ngwe ahụ
Go to the address entered in the address entry,Gàá ná ngosi ebe ahụ etinyere na mbanye ngosi ebe
_Home,_Ụlọ
Go to the home page,Gaa n'ihu inyogo
New _Tab,Táàbụ̀ _ọfụụ
Open a new tab,Mepee táàbụ̀ ọfụụ
_New Window,_Windo ọfụụ
Open a new window,Mepee windo ọfụụ
Default,Di_fọ́ọ̀ltụ̀:toolbar style
Text below icons,Ngwe n'okpuru aịkọntoolbar style
Text beside icons,Ngwe n'akụkụ aịkọntoolbar style
Icons only,toolbar style
Text only,Ndenye kóòdù ngwe
Toolbar Editor,Odezi Tulbáà
Toolbar _button labels:,Ntipanyegasị bọtịn _Tulbáà:
_Add a New Toolbar,_Tinye Tulbáà ọfụụ
_Bookmarks,_Búùkmáàks
_Go,_Gàá
T_ools,N_gwaọrụ
_Tabs,_Táàbs
_Toolbars,_Tulbáà
_Open…,Mepee
Open a file,Mepee faịlụ
Save _As…,Chekwaa dịka
Save the current page,Chekwaa ihuakwụkwọ nke ọfụụ
Page Set_up,Bipụta nrụnye
Setup the page settings for printing,Rụnye nhazi ihuakwụkwọ ahụ maka mbipụta
Print Pre_view,Bipụta ebe n_gosi ihe
Print preview,Bipụta ebe ngosi ihe
_Print…,Bipụta
Print the current page,Bipụta ihuakwụkwọ nke ọfụụ
Send a link of the current page,Ziga ụzọ njikọ nke ihuakwụkwọ ọfụụ
Close this tab,Mechie táàbụ a
_Undo,_Wepụtagharịa
Undo the last action,Wepụtagharịa mmem ikpeazụ
Re_do,Me_gharịa
Redo the last undone action,Megharịa mmem ikpeazụ ewepụtagharịrị
Paste clipboard,Mapanye òchékwáōzím̀gbèńtà
Delete text,_Hichaa
Select the entire page,Họrọ ihuakwukwọ niile ahụ
_Find…,_Chọ̀ọ́:
Find a word or phrase in the page,Chọ̀ọ́ mkpụrụokwu mọọbụ nkebiokwu n'ihuakwụkwọ ahụ
Find Ne_xt,Chọ̀ọ́ nke ọz_ọ
Find next occurrence of the word or phrase,Chọ̀ọ́ nke ọzọ pụtaranụ̄ nke mkpụrụokwu mọọbụ nkebiokwu
Find Pre_vious,Chọ̀ọ́ nke o_chie
Find previous occurrence of the word or phrase,Chọ̀ọ́ mpụta nke ochie nke mkpụrụokwu mọọbụ nkebiokwu
P_ersonal Data,D_ata nkeonwe
View and remove cookies and passwords,Gosi ma wepụ kukììs na okwumbanye
Certificate_s,Fildu _Asambodo
Manage Certificates,_Gosi Asambodo
P_references,N_karachọ
Configure the web browser,Hazipụta omenchọgharị wéèbụ̀
_Customize Toolbars…,Tulbáàzị̀ emeredịkachọrọ
Customize toolbars,Tulbáàzị̀ emeredịkachọrọ
_Stop,_Kwụsị
Stop current data transfer,Kwụsị mbufe data ọfụụ
_Reload,_Debatagharịa
Display the latest content of the current page,Gosipụta ndịna nke ọfụụ nke ihuakwụkwọ ọfụụ
Increase the text size,Bawanye ụhara ngwe ahụ
Decrease the text size,Webilata ụhara ngwe ahụ
_Normal Size,_Ụhara kwesịrịnụ̄
Use the normal text size,Jiri ụhara ngwe kwesịrịnụ̄
Text _Encoding,Ndenye _kóòdù ngwe
Change the text encoding,Gbanwe ndenye kóòdù ngwe ahụ
_Page Source,_Ebensinweta ihuakwụkwọ
View the source code of the page,Gosi okwunzobe ebensinweta nke ihuakwụkwọ
Page _Security Information,Nabata ozi nchekwa nke oge ya ferela?
Display security information for the web page,"Ozi nchekwa maka ""%s"" nke oge ya ferela na %s."
_Add Bookmark…,Tinye Búùkmáàkị̀
Add a bookmark for the current page,Tinye búùkmáàkị̀ maka ihuakwụkwọ ọfụụ
_Edit Bookmarks,_Dezie Búùkmáàks
Open the bookmarks window,Mepee windo búùkmáàks
_Location…,_Ebe...
Go to a specified location,Gaa n'ebe ezipụtarala
Hi_story,Agụgụala
Open the history window,Mepee windo agụgụala ahụ
_Previous Tab,_Táàbụ̀ ochie
Activate previous tab,Mèé ka táàbụ̀ ochie rụwa ọrụ
_Next Tab,_Táàbụ̀ ọzọ
Activate next tab,Mèé ka táàbụ̀ nke ọzọ rụwa ọrụ
Move Tab _Left,Kpụga na táàbụ̀ _akaekpe
Move current tab to left,Kpụga táàbụ̀ ọfụụ n'akaekpe
Move Tab _Right,Kpụga táàbụ̀ _n'akanri
Move current tab to right,Kpụga táàbụ̀ ọfụụ n'akanri
_Detach Tab,_Kepụta táàbụ̀
Detach current tab,Kepụta táàbụ̀ ọfụụ
Display web browser help,Gosipụta nnyemaka omenchọgharị wéèbụ̀
_Work Offline,_Ọrụ pụrụ n'eririikukumgbasaozi
Switch to offline mode,Banye na táàbụ́ a
_Hide Toolbars,_Tulbáà
Show or hide toolbar,Gosi mọọbụ zòó tulbáà
St_atusbar,st_atusbáà
Show or hide statusbar,Gosi mọọbụ zòó statusbáà
_Fullscreen,_Njupụta inyogo
Browse at full screen,Chọgharịa na njupụta inyogo
Popup _Windows,Pọpọp _Windos
Show or hide unrequested popup windows from this site,Gosi mọọbụ zòó windos ndị a na-achọghị site na saịtị a
Selection Caret,Nhọrọ Káréètị̀
Add Boo_kmark…,Tinye Búùkmáàkị̀
Show Only _This Frame,Gosi sọsọ _Fréèmù a
Show only this frame in this window,Gosi sọsọ fréèmù a na windo a
_Open Link,_Mepee ụzọ njikọ
Open link in this window,Mepee ụzọ njikọ na windo a
Open Link in New _Window,Mepee ụzọ njikọ na _windo ọfụụ a
Open link in a new window,Mepee ụzọ njikọ na windo ọfụụ
Open Link in New _Tab,Mepee ụzọ njikọ na _táàbụ̀ ọfụụ
Open link in a new tab,Mepee ụzọ njikọ na _táàbụ̀ ọfụụ
_Download Link,_Bubata ụzọ njikọ
_Save Link As…,Chekwaa ụzọ njikọ dịka
Save link with a different name,Jiri aha ọzọ chekwaa ụzọ njikọ
_Bookmark Link…,_Ụzọ njikọ Buukmakị...
_Copy Link Address,_Debata ngosi ebe ụzọ njikọ
_Send Email…,_Ziga ozi imeelụ...
_Copy Email Address,_Debata ngosi ebe imeelụ
Open _Image,Mepee _inyogo
_Save Image As…,Chekwaa inyogo dịka...
_Use Image As Background,_Jiri inyogo dịka Okpuru
Copy I_mage Address,Debata ngosi ebe i_nyogo
There are unsubmitted changes to form elements,Enwere mgbanwe a na-enyeghị na fọm elementị
"If you close the document anyway, you will lose that information.","Ọ bụrụ na imechie dọkumenti ebe ọbụla, ozi ahụ ga-efunahụ gị."
Close _Document,Mechie _Dọkumentị
Open,Mepee
Save As,Chekwaa dịka
Print,Bipụta
Find,Chọ̀ọ́
Insecure,Echekwaghị
Broken,Mmebi
Low,Dị ala
High,Elu
Security level: %s,Ógó nchekwa: %s
Open image “%s”,Mepee inyogo '%s'
Use as desktop background “%s”,Jiri dịka okpuru desktọ́ọ̀pụ̀ '%s'
Save image “%s”,Chekwaa inyogo '%s'
Copy image address “%s”,Debata ngosi ebe inyogo '%s'
Send email to address “%s”,Ziga ozi imeelụ na ngosi ebe '%s'
Copy email address “%s”,Debata ngosi ebe imeelụ '%s'
Save link “%s”,Chekwaa ụzọ njikọ '%s'
Bookmark link “%s”,Búùkmáàkị̀á ụzọ njikọ '%s'
Copy link's address “%s”,Debata ngosi ebe nke ụzọ njikọ '%s'
Clear All Personal Data,D_ata nkeonwe
C_ookies,Kukíìs
Saved _passwords,Họrọ okwumbanye.
_Temporary files,Kọmputa faịlụ ebenchekwaozi nwaobere
Cookie Properties,Ngwaọrụ Kukiis
Content:,Ndịna:
Path:,Ọdịdị faịlụ:
Send for:,Ziga maka:
Encrypted connections only,Nsụnye enkriptéèdì sọsọ
Any type of connection,Ụdị nsụnye nke ọbụla
Expires:,Oge efeela:
End of current session,Ngwụcha seshiọn ọfụụ
Domain,Doméènù
Name,Aha
Host,Obuteikukuozi
User Name,Aha Ojieme
User Password,Okwumbanye
Download Link,Bubata ụzọ njikọ
Save Link As,Chekwaa ụzọ njikọ dịka
Save Image As,Chekwaa inyogo dịka...French (France)
%s (%s),%s (%s)
User defined (%s),Akọwara ojieme(%s)
Select a Directory,Họrọ ebenlereanya
Past developers:,_Ndị nrụlite Sọftwịa
translator-credits,sylvester@wazobialinux.com
GNOME Web Browser Website,Omenchọgharị Wéèbụ̀
_Save As...,_Chekwaa dịka...
Sidebar Extension Required,Achọrọ Mgbatịkwu Saịdbáà
The link you clicked needs the sidebar extension to be installed.,Ụzọ njikọ ahụ ịpịrị chọrọ ka ewunye mgbatịkwu saịdbáà.
Epiphany Web Bookmarks,Búùkmáàks Epiphany Wéèbụ̀
Web Bookmarks,Búùkmáàkịs Wéèbụ̀
Browse and organize your bookmarks,Chọgharịa ma hazie búùkmáàks gị
Search the web,"Chọgharịa na wéèbụ̀http://www.google.nl"" and ""http://www.google.nl/search?q=%s"
http://www.google.com,"http://www.google.co.uk/search?ie=UTF-8oe=UTF-8q=http://www.google.nl"" and ""http://www.google.nl/search?q=%s"
http://www.google.com/search?q=%samp;ie=UTF-8amp;oe=UTF-8,http://www.google.co.uk/search?q=%sie=UTF-8oe=UTF-8
Epiphany,Epiphany
Web Browser,Omenchọgharị Wéèbụ̀
Epiphany Web Browser,Omenchọgharị wéèbụ̀ Epiphany
Issued To,Nke enyere na
Common Name:,Aha ama ama:
Organization:,Nhazi:
Organizational Unit:,Nkeji nhazi:
Serial Number:,Ọnụọgụgụ eji ahụba ihe ama:
Issued By,Nke enyere site na
Validity,Nkeanabatara
Issued On:,Enyere na:
Expires On:,Oge efeela na:
Fingerprints,Mkpịsịaka
SHA1 Fingerprint:,Mkpịsịaka SHA1:
