,en,ig
205,carry belly,afọ ime
206,unkindness,afọ njọ
207,gluttony,afọ nni
208,liberality,afọ Ofufu
209,generosity,afọ Ofufu
210,dysentery,afọ ụbala
211,diarrhoea,afọ ọchịchị
212,colic,afọ ọlụlụ
213,stomach-ache,afọ ọlụlụ
214,kindness,afọ ọma
215,sacrifice before cultivation,afọ ụra
216,dysentery,afọ ọsịsa
217,flatulence,afọ ụsụsụ
218,flatulence,afọ ọzịza
219,gluttony,afọ ukwu
220,calf of leg,afọ ụkwụ
221,intestinal worm,arụrụ afọ
222,very tiny,arụrụ afọ
223,pinworm,arụrụ afọ
224,be pregnant :,bu afọ ime
225,Chioma is pregnant,Chioma bu afọ ime
226,the intestines,elili afọ
227,the intestines,beef tripe
228,the intestines,shaki meat
229,satisfy,ju afọ
230,It satisfies me,O julu m` afọ
231,I am satisfied,Afọ julu m
232,distend abdomen,kO afọ
233,drink to satisfy,laju afọ
234,have stomach-ache,lụ afọ
235,intestine,ngịlị afọ
236,bowels,ngịlị afọ
237,act as purgative,nupụ afọ
238,have swollen belly,nupụ afọ
239,brother or sister of same father and mother,nwanne afọ
240,full brother or sister,nwanne afọ
241,be generous,nwe afọ ọma
242,kind,nwe afọ ọma
243,benevolent,nwe afọ ọma
244,feed well,nyeju afọ
245,purgative,ọgwụ afọ
246,have distended abdomen like that of ascitic or overfed child,tepulu afọ
247,have a bulging distended abdomen,tepụbe afọ
248,have great swollen belly,to afọ
249,develop ascites,to afọ
250,enlarged spleen,ụma afọ
251,kind of abdominal disorder in children,ụma afọ
252,decade,afo iri
253,afo market,afo/aho
254,year,afo
255,year,aro
256,Africa,afrịka
257,a day in the Igbo four-day week,afụ
258,following Oye,afụ
259,personified as an alụsị,afụ
260,a day in the Igbo four-day week,Oye
261,following Oye,Oye
262,personified as an alụsị,Oye
263,a day in the Igbo four-day week,alụsị
264,following Oye,alụsị
265,personified as an alụsị,alụsị
266,name of female person born on afO,afụọma
267,name of female person born on afO,afO
268,name of female person born on afO,orie
269,name of female person born on afO,afọ
270,name of female person born on afO,nkwọ
271,name of female person born on afO,eke
272,name of male person born on afụ,nwaafụ
273,name of male person born on afụ,afụ
274,half penny,afụ
275,that,afụ
276,last year,aka afụ
277,old times,aka afụ
278,days of old,aka afụ
279,that place,ebe afụ
280,there:,ebe afụ
281,Who is there?,Ony� nụ ebe afụ?
282,then,ekpe afụ
283,at that time,ekpe afụ
284,so,etu afụ
285,in that manner,etu afụ
286,then,m`gbe afụ
287,at that time,m`gbe afụ
288,those,ndị afụ
289,that very one,Ofu afụ
290,that person,onye afụ
291,used in:,afụ
292,moustache,afụ ọnụ
293,moustache,afe ọnụ
294,beard,afụ ọnụ
295,beard,afe ọnụ
296,grow beard,gba afụ ọnụ
297,moustache,gba afụ ọnụ
298,garden eggs,afufa
299,egg plant,afụfa
300,egg plant,afẁfa
301,trouble,afụfụ
302,difficulty,afụfụ
303,punishment in underworld,afụfụ m#mụọ
304,very severe punishment or trouble,afụfụ m#mụọ
305,misfortune,afụfụ ụwa
306,ups and downs of life,afụfụ ụwa
307,suffer,fụ afụfụ
308,suffer,ta afụfụ
309,punish,ta afụfụ
310,be in suffering,ta afụfụ
311,trouble:,ta afụfụ
312,You will suffer,Ị ga-ata afụfụ
313,world of suffering,ụwa afụfụ
314,any rash caused by perspiration,afụfụ
315,dermatitis,afụfụ
316,eczema,afụfụ
317,uticaria,afụfụ
318,swollen patches due to sensitivity to some particular food,afụfụ
319,serum,afụfụ
320,drug,afụfụ
321,etc.,afụfụ
322,any rash caused by perspiration,fụ
323,dermatitis,fụ
324,eczema,fụ
325,uticaria,fụ
326,swollen patches due to sensitivity to some particular food,fụ
327,serum,fụ
328,drug,fụ
329,etc.,fụ
330,adze,aga
331,large needle for sewing sacks,aga
332,etc.,aga
333,variety of yam,aga
334,barren woman,aga
335,Childless,aga
336,na? -Will it be said that?,aga
337,lion,agaba
338,name of masquerade,agaba
339,old person,agadi
340,old woman,agadi nwaanyị
341,plant used as medicine to see night witches,agadi nwaanyị isi awọ
342,old man,agadi nwoke
343,be old,me agadi
344,decrepit,me agadi
345,become old,me agadi
346,bandit,agafu
347,expert thief,agafu
348,false thistle,agameebu
349,name of a masquerade,agameebu
350,barbed spear for hunting or fighting,agana
351,chin,agba
352,title given to chiefs,agba
353,tree from which firewood and incense are obtained,agba
354,covenant,agba
355,appointment,agba
356,Old Testament,agba Ochie
357,New Testament,agba ọfọọ
358,make appointment,ka agba
359,jaw,agba
360,have a say in,nwe agba
361,have influence,nwe agba
362,rheumatism,agba
363,rheumatism,OkpoOmili
364,mumps,agbadagba ntị
365,the author of fertility,agbala
366,one of the manifestations of Chukwu Okike,agbala
367,Creator,agbala
368,male name,agbala
369,child  whose pregnancy and delivery was made possible by agbala,agbala
370,the author of fertility,Chukwu Okike
371,one of the manifestations of Chukwu Okike,Chukwu Okike
372,Creator,Chukwu Okike
373,male name,Chukwu Okike
374,child  whose pregnancy and delivery was made possible by agbala,Chukwu Okike
375,the author of fertility,agbala
376,one of the manifestations of Chukwu Okike,agbala
377,Creator,agbala
378,male name,agbala
379,child  whose pregnancy and delivery was made possible by agbala,agbala
380,perform routine sacrifice to agbala,do agbala
381,swear blood-brotherhood,do agbala
382,make covenant  vowing not to do anything to endanger either party's life safety,do agbala
383,etc.,do agbala
384,perform routine sacrifice to agbala,agbala
385,swear blood-brotherhood,agbala
386,make covenant  vowing not to do anything to endanger either party's life safety,agbala
387,etc.,agbala
388,consult the agbala in Awka,je agbala
389,the most famous one,je agbala
390,woman of great influence or of strong,agbala
391,stout build,agbala
392,woman of great influence or of strong,agbala nwaanyị
393,stout build,agbala nwaanyị
394,an object about 8' long,agbala
395,made of two long bamboos,agbala
396,with a number of coconut shells fixed between them representing the number of girls the owner was on intimate terms with in his youth,agbala
397,an object about 8' long,8
398,made of two long bamboos,8
399,with a number of coconut shells fixed between them representing the number of girls the owner was on intimate terms with in his youth,8
400,cow-itch,agbala
401,cow-itch,agbara
402,change in year,agbamafo
403,boundary line,agbata
404,border,agbata
405,neighbourhood,agbata obi
406,neighbour,agbata obi
407,neighbour,onye agbata obi
408,next-door neighbour:,onye agbata obi
409,is my neighbour:,ọnwọọk� bụ onye agbata obi m ọnwọọka
410,A person's neighbour is his brother or sister,agbata obi ony� bụ nwa nne ya
411,a god,agbata
412,male name,agbata
413,long,agbe
414,narrow calabash for carrying water or wine,agbe
415,calabash,agbe
416,solid,agbidi
417,thick palm oil,agbidi
418,black ant infesting houses,agbịsị
419,black ant infesting houses,agbọsị
420,living in holes in mud floors,agbịsị
421,living in holes in mud floors,agbọsị
422,growing calabash,agbọ
423,covering cloth,agbọ
424,descent,agbọ
425,family,agbọ
426,lineage,agbọ
427,inheritable characteristic of a family:,agbọ
428,Osita's lineage is one of short people,agbọ Osita bụ agbọ na-adị nkenke
429,Osita's lineage is one of short people,Osita Iheme
430,Osita's lineage is one of short people,Chinedu Ikedieze
431,female name,agbọmma
432,bonds,agbọ
433,a binding,agbọ
434,bind,fie agbọ
435,cord,fie agbọ
436,bind,ke agbọ
437,He bound him,O kelụ ya agbọ
438,rope used for climbing,O kelụ ya agbọ
439,made from ngwọ  fronds,O kelụ ya agbọ
440,He bound him,ngwọ
441,rope used for climbing,ngwọ
442,made from ngwọ  fronds,ngwọ
443,very thick forest,agbọ agbọ ajọ ọfịa
444,especially that devoted to a god,agbọ agbọ ajọ ọfịa
445,out of bounds to all except the priests of that particular god,agbọ agbọ ajọ ọfịa
446,place where refuse is disposed,agbọgbọ
447,dunghill,agbọgbọ
448,compost heap,agbọgbọ
449,rubbish heap,agbọgbọ
450,grub usually found in a decaying compost heap,akpa agbọgbọ
451,collect decayed compost for application to crops,kpo agbọgbọ
452,see agbọọ,agbọghọ
453,slimy substance,agbọlọ
454,e.g. from fish,agbọlọ
455,see ọgbọnọ,agbọnọ
456,vomit,agbọọ
457,vomit:,gbọ agbọọ
458,Ada is vomiting,ada na-agbọ agbọọ
459,retch,rụ agbọọ
460,make to feel nausea,rụ agbọọ
461,cause nausea,rụ agbọọ
462,vomit,gbọ
463,ọgbọgbọ,gbọ
464,vomit,ọgbọgbọ
465,ọgbọgbọ,ọgbọgbọ
466,girl of marriageable age,agbọọ
467,girl of marriageable age,agbọghọ
468,young girl,agbọọ
469,young girl,agbọghọ
470,Oluchi is a young girl,Oluchi bụ nwa agbọọ
471,girl of marriageable age,agbọọbịa
472,act as or be a young woman,me agbọghọ
473,see agbịsị,agbọsị
474,molar teeth,agbụlụgada
475,part of the jaw where they are situated,agbụlụgada
476,war,agha
477,war,aya
478,war,Nigeria Biafra civil war
479,fight,bu agha
480,fight or war against,busO agha
481,carry war against,busO agha
482,We are going to carry war against them,anyị na-achọ ibusO fa agha
483,take prisoner in war,dọ n'agha
484,captivity,ọdịdọ n'agha
485,state of being a prisoner of war,ọdịdọ n'agha
486,weapon,ife agha
487,go to war,je agha
488,be recruited into war,je agha
489,soldiers,ndi agha
490,warriors,ndi agha
491,fight war,nụ agha
492,war,nụ agha
493,fight or war against,nọsO agha
494,military officer,ọchị agha
495,leader,ọchị agha
496,commanding officer,ọchị agha
497,a male name,ọchị agha
498,used in: agha ọghụgha changing of state of things for worse,agha
499,used in: agha ọghụgha changing of state of things for worse,aya
500,lawlessness,aghala
501,lawlessness,ayala
502,confusion:,aghala
503,confusion:,ayala
504,Ọsuọfia is coming here to cause confusion,Ọsuọfia na-abịa ebe a ịkpa aghala
505,riot,gba aghala
506,be disorderly,gba aghala
507,be rascally,gba aghala
508,cause confusion,kpọ aghala
509,riot,kpọ aghala
510,tumult,kpọ aghala
511,lawless person,onye aghala
512,I don't understand,aghotaghi m
513,guile,aghụghọ
514,guile,awụwọ
515,deceitfulness,aghụghọ
516,deceitfulness,awụwọ
517,cunning,aghụghọ
518,cunning,awụwọ
519,double-dealing,aghụghọ
520,double-dealing,awụwọ
521,be tricky,ghọ aghụghọ
522,cunning,ghọ aghụghọ
523,fond of setting persons against one another,ghọ aghụghọ
524,carry on double-dealing:,ghọ aghụghọ
525,Emeka is very fond of double dealing,emeka ana aghọka aghụghO
526,pretend to be mad,pụ ala aghụghọ
527,maize gruel,agidi
528,maize gruel,agidi
529,fatness,agịdịgị
530,stoutness,agịdịgị
531,bigness,agịdịgị
532,be fat,gba agịdịgị
533,plump,gba agịdịgị
534,have stout build,gba agịdịgị
535,see agụgọ,agịgọ
536,hair of head,agịlị isi
537,defence,ago
538,iron gong for proclamations,agogo
539,iron gong for proclamations,agogo
540,medicinal plant with reddish seeds,agolo
541,wild Canna,agrị
542,seen in Agwụ shrines,agrị
543,wild Canna,Agwụ
544,seen in Agwụ shrines,Agwụ
545,leopard,agu
546,leopard,agu is not a lion
547,a razor blade,aguba
548,razor,aguba
549,leopard,agụ
550,jackal-like animal,agụ ata
551,name of a town,agụ ata
552,crocodile,agụ iyi
553,leopard which is weaker and less ferocious than the real leopard,agụ ọgba
554,very young leopard,nwa agụ
555,daring,obi agụ
556,fearless like a leopard,obi agụ
557,brave,obi agụ
558,title,Ogbu agụ
559,holder of Ogbu agụ title,Ogbu agụ
560,name,Ogbu agụ
561,title,Ogbu agụ
562,holder of Ogbu agụ title,Ogbu agụ
563,name,Ogbu agụ
564,secret night society,Ọgba agụ
565,Leopard Society,Ọgba agụ
566,secret night society,agụ ọgba
567,Leopard Society,agụ ọgba
568,open grassy country,agụ
569,wilderness,agụ
570,person bearing same name as oneself,agụ
571,namesake,agụ
572,person bearing same name as oneself,OgbO
573,namesake,OgbO
574,see Agwụ,agụ
575,denial,agụgọ
576,denial,agịgọ
577,plea:,agụgọ
578,plea:,agịgọ
579,I have no plea,enwerọ m agụgọ
580,deny,gọ agụgọ
581,I do not like the company of anybody who denies what he has done,Ada m achọ ụkpa onye na-agọ agụgọ ife o melụ
582,I do not like the company of anybody who denies what he has done,gọ
583,festival,agụgụ
584,name for a child believed an ọgbanje,agụnyego
585,name for a child believed an ọgbanje,ọgbanje
586,hunger,agụụ
587,desire,agụụ
588,eagerness,agụụ
589,be hungry,gụ
590,mmili thirst,agụụ
591,hunger,gụ agụụ
592,desire,gụ agụụ
593,long for,gụ agụụ
594,hunger,gụ
595,desire,gụ
596,long for,gụ
597,hunger,aguu
598,hunger,aguru
599,beans,agwa
600,beans,agwa
601,Lima bean,agwa
602,cowpea,agwa ọcha
603,pod of beans,ịfụlịfụ agwa
604,colour,agwa
605,be spotted,tụ agwa
606,variegated in colour,tụ agwa
607,This leaf is coloured white and yellow,Akwụkwọ ?kaa tụlụ agwa ọcha na edO
608,My dog is spotted like a leopard,Nkịta m tụlụ agwa ka agụ
609,manners,agwa
610,behaviour:,agwa
611,His manners leave something to be desired,agwa ya adisịrọ mma
612,old custom,agwa ochie
613,behave,kpa agwa
614,behave badly,kpa agwa ọjọọ
615,beans,agwa
616,home sickness,agwa
617,home sickness,agwaa
618,nostalgia,agwa
619,nostalgia,agwaa
620,miss:,�ma
621,I miss my friend who is in Holland,Agwa enyị m nwoke nọ n'ObOdO Oyịbo na-ama m
622,snake,agwo
623,snake,agwọ
624,A. raffia,agwọ
625,raffia dancing-skirt used by masquerades,agwọ
626,an alụsị,agwụ
627,an alụsị,agụ
628,or class of alụsị,agwụ
629,or class of alụsị,agụ
630,of ambivalent character,agwụ
631,of ambivalent character,agụ
632,the spirit of afa divination. Agwụ possesses those who are called to serve as ndị dibịa,agwụ
633,the spirit of afa divination. Agwụ possesses those who are called to serve as ndị dibịa,agụ
634,the signs of a vocation being absentmindedness,agwụ
635,the signs of a vocation being absentmindedness,agụ
636,disorientation,agwụ
637,disorientation,agụ
638,and the like,agwụ
639,and the like,agụ
640,an alụsị,alụsị
641,or class of alụsị,alụsị
642,of ambivalent character,alụsị
643,the spirit of afa divination. Agwụ possesses those who are called to serve as ndị dibịa,alụsị
644,the signs of a vocation being absentmindedness,alụsị
645,disorientation,alụsị
646,and the like,alụsị
647,an alụsị,alụsị
648,or class of alụsị,alụsị
649,of ambivalent character,alụsị
650,the spirit of afa divination. Agwụ possesses those who are called to serve as ndị dibịa,alụsị
651,the signs of a vocation being absentmindedness,alụsị
652,disorientation,alụsị
653,and the like,alụsị
654,an alụsị,afa
655,or class of alụsị,afa
656,of ambivalent character,afa
657,the spirit of afa divination. Agwụ possesses those who are called to serve as ndị dibịa,afa
658,the signs of a vocation being absentmindedness,afa
659,disorientation,afa
660,and the like,afa
661,an alụsị,Agwụ
662,or class of alụsị,Agwụ
663,of ambivalent character,Agwụ
664,the spirit of afa divination. Agwụ possesses those who are called to serve as ndị dibịa,Agwụ
665,the signs of a vocation being absentmindedness,Agwụ
666,disorientation,Agwụ
667,and the like,Agwụ
668,an alụsị,ndị dibịa
669,or class of alụsị,ndị dibịa
670,of ambivalent character,ndị dibịa
671,the spirit of afa divination. Agwụ possesses those who are called to serve as ndị dibịa,ndị dibịa
672,the signs of a vocation being absentmindedness,ndị dibịa
673,disorientation,ndị dibịa
674,and the like,ndị dibịa
675,It is those who minister to agwụ that agwụ possesses,Ndị na-eme agwụ ka agwụ na-akpa
676,be possessed by Agwụ be mildly eccentric or mentally deranged,�kpa
677,be possessed by Agwụ be mildly eccentric or mentally deranged,Agwụ
678,Okaafọ is disturbed in his mind,agwụ na-akpa OkaafO
679,Okaafọ is disturbed in his mind,Ony� ma ma O mego ife anaro eme eme?
680,who knows if he has committed an abomination?,agwụ na-akpa OkaafO
681,who knows if he has committed an abomination?,Ony� ma ma O mego ife anaro eme eme?
682,perform the preliminary sacrifice before being initiated into agwụ,lu agwụ
683,perform the preliminary sacrifice before being initiated into agwụ,agwụ
684,figure to the right of agwụ,nne agwụ
685,figure to the right of agwụ,agwụ
686,figure to the left of agwụ,nwa agwụ
687,figure to the left of agwụ,agwụ
688,vulture associated with agwụ,udene agwụ
689,an image of which is made,udene agwụ
690,vulture associated with agwụ,agwụ
691,an image of which is made,agwụ
692,name,aha
693,name,ahaa
694,aha,ahaa
695,squeezing,ahi
696,market,ahia
697,choosing,aho
698,year - Orsu dialect,aho
699,a kind of dish,aho
700,year,aho
701,that,ahu
702,those,ahu
703,body,ahu
704,Body,ahu
705,one sees,ahu
706,shaking,ahu
707,I'm sick,ahu na anwum
708,I love you,ahuru m gi na-anya
709,Igbo word for love,ahuru m gi na-anya
710,how to say I love you in igbo,ahuru m gi na-anya
711,I love you in igbo language,ahuru m gi na-anya
712,I love u in igbo,ahuru m gi na-anya
713,how to say my love in igbo,ahuru m gi na-anya
714,I love you,I love you
715,Igbo word for love,I love you
716,how to say I love you in igbo,I love you
717,I love you in igbo language,I love you
718,I love u in igbo,I love you
719,how to say my love in igbo,I love you
720,I love you forever,ahuru m gi na-anya mgbe nile
721,I love you very much,ahuru m gi na-anya nke ukwu
722,sand,aja
723,offering made to a god,aja
724,earth,aja
725,trodden clay,aja
726,building mud,aja
727,sand,aja
728,see anị,Ajaana
729,heap of sand collected by flood after rainfall,aja idei
730,wall,aja n'gwe
731,wall,aja odido
732,white sand,aja ubOm`
733,got from river,aja ubOm`
734,used in building,aja ubOm`
735,red soil,aja uke
736,red clay used for building in upland areas,aja ụpa
737,build a wall,do aja
738,build walls of mud building,gbu aja ụnọ
739,instep of foot,nwa eze ala aja
740,rub,te aja
741,smoothe,te aja
742,wet wall,te aja
743,paint wall,te aja
744,break piece of wall of with blow,tibo aja
745,remove part of wall with blow,tibo aja
746,troublesome world,ụwa aja aja
747,world of trials and tribulations,ụwa aja aja
748,cymbal,aja
749,sacrifice,aja
750,particularly the joyless sacrifice offered to pacify or drive out evil spirits,aja
751,sometimes,akaloOgOli
752,sometimes,ajọ mmụọ ekwensu
753,more generally,akaloOgOli
754,more generally,ajọ mmụọ ekwensu
755,any sacrifice,akaloOgOli
756,any sacrifice,ajọ mmụọ ekwensu
757,offer joyless sacrifice to drive out evil spirits,chụ aja
758,deposit joyless sacrifice,do aja
759,roughly-woven basket containing joyless sacrifice,ụgbọ aja
760,Nile Perch,aja
761,the largest fish in the area,aja
762,smaller sized aja,nkọlọ aja
763,smaller sized aja,aja
764,widower,ajadu
765,widow,ajadu
766,widow,ajadu nwaanyị
767,widower,ajadu nwoke
768,widower,ajadu nwoke
769,red earth,ajali
770,Hair,aji
771,a kind of Big tree,aji
772,hair of humans or animals,ajị
773,hair of humans or animals,ntutu
774,hair of humans or animals,ntutu anya
775,crop,kpacha ajị
776,shave,kpacha ajị
777,cut hair,kpacha ajị
778,crop,kpacha ajị anụ
779,cut hair of animal,kpacha ajị anụ
780,used in:,ajị
781,crocodile,ajị iyi
782,a kind of native woven cloth,ajị
783,rough,ajị
784,coarse and thick,ajị
785,a kind of native woven cloth,akwa ajị
786,rough,akwa ajị
787,coarse and thick,akwa ajị
788,used in:,ajị
789,severe dysmenorrhoea  which occurs mostly in young women,ajị enyi
790,in severe cases leaves the patient prostrate,ajị enyi
791,and can be disabling,ajị enyi
792,shortened form of ajị iyi crocodile,ajii
793,shortened form of ajị iyi crocodile,ajị iyi
794,sweat,ajịlịja
795,perspiration,ajịlịja
796,perspire,gba ajịlịja
797,smooth pebble,ajịlịja
798,strong and wiry:,ajịlịja
799,He is strong and wiry,Ọ bụ ajịlịja mmadụ/Ọ dị ajịlịja n'anya
800,evil,ajo
801,bad,ajọ
802,bad luck,ajọ arụ
803,crime,ajọ ife
804,including abomination and defilement,ajọ ife
805,back luck,ajọ isi
806,bad spirit,ajọ mmụọ
807,rheumatism,ajọ oyi
808,see under ọfịa,ajọ ọfịa
809,very,ajọ ọlụ
810,exceedingly,ajọ ọlụ
811,hard:,ajọ ọlụ
812,It is very hard,Ọ dị ajọ ọlụ
813,bad position or condition,ajọ ọnọdụ
814,bad speech,ajọ ọnụ
815,foul-mouthedness,ajọ ọnụ
816,malignant disease,ajọ ọya
817,wicked person:,ajọ mmadụ
818,We know that ọbịageli is not a wicked person,anyị amalụgo na Ọbịageli abụrọ ajọ mmadụ
819,We know that ọbịageli is not a wicked person,ọbịageli
820,bad plan,ajọ uche
821,do work badly,lụ ajọ ọlụ
822,headpad,ajụ
823,roll of tobacco,ajụ ụtaba
824,dizziness,ajụ
825,be dizzy:,� bu
826,I am dizzy,Ajụ na-ebu m
827,cause dizziness:,bu ajụ
828,The medicine I drank this morning is making me dizzy,Ọgwụ m ṅụlụ n'ụtụtụ a na-ebu m ajụ
829,be giddy,chụ ajụ
830,feel giddy,chụ ajụ
831,tall coarse grass used for thatching,ajụ
832,question,ajụjụ
833,ask a question,jụ ajụjụ
834,ask a question,jụ
835,hand,aka
836,arm,aka
837,foreleg,aka
838,handle,aka
839,part,aka
840,portion,aka
841,a species of snakes,aka
842,sleeve of garment,aka afe
843,bribe,aka azu
844,back-hand,aka azu
845,He wants to take a bribe,Ọ na-achọ ili aka azụ
846,witness,aka ebe
847,surety:,aka ebe
848,He is my witness,Ọ bụ onye aka ebe m
849,pledge,Ọ bụ onye aka ebe m
850,Let this  stand as a pledge,Ka ife a nọdụ n'aka ebe
851,left hand,aka ekpe
852,toothache,aka eze
853,stinginess,aka ike
854,rigid discipline,aka ike
855,force,aka ike
856,violence,aka ike
857,right hand,aka nri
858,right hand,aka ikenga
859,right hand,raitu
860,shaky hand,aka izize
861,be stronger than,� ka aka
862,I am stronger than he,aka m`ka aka ya
863,illicit gin,ak� melụ
864,one's very own,aka mkpa
865,hand with white patches,aka n'chịcha
866,stone or wooden pestle for pepper,aka n'gwe
867,egusi,aka n'gwe
868,herbs,aka n'gwe
869,etc.,aka n'gwe
870,artistically inclined,aka ṅka
871,talented,aka ṅka
872,handy,aka nkọ
873,quick-handed,aka nkọ
874,gentleness,aka nlọ
875,right hand,aka nni
876,stinginess,aka ntadide
